id_ciudadano,edad,genero,comuna_id,comuna,perfil_territorial,validado,voto_emitido,fecha_registro
C-0000001,84,M,14,El Poblado,sur,True,False,2026-04-15T11:33:41
C-0000002,55,F,8,Villa Hermosa,ladera_oriente,True,True,2026-04-15T11:21:42
C-0000003,20,F,15,Guayabal,sur,True,True,2026-04-15T07:54:51
C-0000004,78,No reporta,13,San Javier,ladera_occidente,True,False,2026-04-15T08:56:07
C-0000005,81,F,2,Santa Cruz,ladera_norte,False,False,2026-04-15T08:54:49
C-0000006,36,F,80,San Antonio de Prado,rural,True,True,2026-04-15T09:09:50
C-0000007,44,F,14,El Poblado,sur,False,False,2026-04-15T09:56:16
C-0000008,19,M,14,El Poblado,sur,True,True,2026-04-15T08:25:10
C-0000009,71,M,3,Manrique,ladera_norte,True,True,2026-04-15T11:26:25
C-0000010,69,F,8,Villa Hermosa,ladera_oriente,False,False,2026-04-15T10:00:47
C-0000011,19,M,7,Robledo,ladera_noroccidente,True,False,2026-04-15T07:54:56
C-0000012,65,F,50,San Sebastian de Palmitas,rural,False,False,2026-04-15T11:33:23
C-0000013,45,M,12,La America,centro_sur,True,True,2026-04-15T09:03:40
C-0000014,54,F,15,Guayabal,sur,True,True,2026-04-15T10:19:12
C-0000015,32,F,8,Villa Hermosa,ladera_oriente,True,True,2026-04-15T09:35:38
C-0000016,72,F,4,Aranjuez,valle,True,True,2026-04-15T09:16:24
C-0000017,45,No reporta,10,La Candelaria,centro,True,True,2026-04-15T09:09:29
C-0000018,74,M,2,Santa Cruz,ladera_norte,False,False,2026-04-15T09:33:04
C-0000019,27,M,15,Guayabal,sur,True,False,2026-04-15T07:50:30
C-0000020,57,F,11,Laureles-Estadio,centro_sur,True,False,2026-04-15T10:57:46
C-0000021,38,F,14,El Poblado,sur,True,False,2026-04-15T10:44:21
C-0000022,82,F,7,Robledo,ladera_noroccidente,True,True,2026-04-15T10:04:16
C-0000023,55,F,80,San Antonio de Prado,rural,True,False,2026-04-15T11:55:57
C-0000024,66,F,16,Belen,sur,True,False,2026-04-15T10:15:48
C-0000025,23,M,14,El Poblado,sur,True,True,2026-04-15T09:26:38
C-0000026,63,M,4,Aranjuez,valle,True,True,2026-04-15T10:32:54
C-0000027,24,M,9,Buenos Aires,ladera_oriente,False,False,2026-04-15T11:29:46
C-0000028,42,F,1,Popular,ladera_norte,True,False,2026-04-15T11:11:33
C-0000029,32,F,3,Manrique,ladera_norte,True,False,2026-04-15T10:21:38
C-0000030,18,M,12,La America,centro_sur,True,True,2026-04-15T10:37:41
C-0000031,57,F,13,San Javier,ladera_occidente,False,False,2026-04-15T12:24:53
C-0000032,34,M,70,Altavista,rural,False,False,2026-04-15T10:55:17
C-0000033,52,M,6,Doce de Octubre,ladera_noroccidente,True,False,2026-04-15T11:01:10
C-0000034,69,F,7,Robledo,ladera_noroccidente,False,False,2026-04-15T10:49:50
C-0000035,29,F,9,Buenos Aires,ladera_oriente,False,False,2026-04-15T12:16:40
C-0000036,65,M,4,Aranjuez,valle,True,False,2026-04-15T12:07:56
C-0000037,37,F,3,Manrique,ladera_norte,True,False,2026-04-15T09:13:23
C-0000038,40,M,9,Buenos Aires,ladera_oriente,False,False,2026-04-15T11:10:56
C-0000039,56,M,4,Aranjuez,valle,True,True,2026-04-15T10:45:44
C-0000040,59,M,12,La America,centro_sur,True,False,2026-04-15T10:13:58
C-0000041,61,F,8,Villa Hermosa,ladera_oriente,True,False,2026-04-15T10:04:35
C-0000042,31,M,15,Guayabal,sur,True,True,2026-04-15T11:59:23
C-0000043,56,M,13,San Javier,ladera_occidente,False,False,2026-04-15T12:03:32
C-0000044,35,F,6,Doce de Octubre,ladera_noroccidente,False,False,2026-04-15T12:00:07
C-0000045,36,F,15,Guayabal,sur,True,True,2026-04-15T09:01:39
C-0000046,81,M,14,El Poblado,sur,False,False,2026-04-15T09:15:27
C-0000047,24,M,7,Robledo,ladera_noroccidente,False,False,2026-04-15T07:56:47
C-0000048,45,F,5,Castilla,valle,True,False,2026-04-15T11:31:35
C-0000049,47,M,12,La America,centro_sur,False,False,2026-04-15T10:56:15
C-0000050,34,M,3,Manrique,ladera_norte,True,False,2026-04-15T12:24:44
C-0000051,70,F,4,Aranjuez,valle,True,True,2026-04-15T11:10:56
C-0000052,50,F,1,Popular,ladera_norte,False,False,2026-04-15T08:32:03
C-0000053,66,F,14,El Poblado,sur,False,False,2026-04-15T08:58:23
C-0000054,43,F,12,La America,centro_sur,True,True,2026-04-15T09:29:05
C-0000055,78,M,13,San Javier,ladera_occidente,False,False,2026-04-15T11:17:37
C-0000056,66,M,14,El Poblado,sur,True,True,2026-04-15T09:34:38
C-0000057,40,F,8,Villa Hermosa,ladera_oriente,True,False,2026-04-15T12:20:16
C-0000058,82,M,10,La Candelaria,centro,True,True,2026-04-15T10:33:10
C-0000059,75,F,3,Manrique,ladera_norte,True,False,2026-04-15T09:20:12
C-0000060,57,F,2,Santa Cruz,ladera_norte,True,False,2026-04-15T12:18:48
C-0000061,19,F,12,La America,centro_sur,False,True,2026-04-15T10:12:44
C-0000062,57,M,9,Buenos Aires,ladera_oriente,False,False,2026-04-15T09:01:40
C-0000063,64,M,10,La Candelaria,centro,False,False,2026-04-15T09:27:20
C-0000064,42,M,14,El Poblado,sur,True,False,2026-04-15T11:16:07
C-0000065,27,F,12,La America,centro_sur,True,True,2026-04-15T07:55:25
C-0000066,55,F,10,La Candelaria,centro,True,True,2026-04-15T11:23:34
C-0000067,71,F,10,La Candelaria,centro,True,True,2026-04-15T08:02:49
C-0000068,39,M,6,Doce de Octubre,ladera_noroccidente,True,False,2026-04-15T10:58:50
C-0000069,48,F,1,Popular,ladera_norte,False,False,2026-04-15T11:06:14
C-0000070,18,M,8,Villa Hermosa,ladera_oriente,True,True,2026-04-15T10:26:28
C-0000071,65,M,4,Aranjuez,valle,False,True,2026-04-15T08:25:29
C-0000072,76,F,8,Villa Hermosa,ladera_oriente,False,False,2026-04-15T10:21:30
C-0000073,70,,15,Guayabal,sur,True,True,2026-04-15T11:38:52
C-0000074,46,F,5,Castilla,valle,True,True,2026-04-15T08:54:36
C-0000075,21,M,2,Santa Cruz,ladera_norte,True,True,2026-04-15T12:05:52
C-0000076,50,No reporta,5,Castilla,valle,True,True,2026-04-15T08:11:10
C-0000077,81,F,6,Doce de Octubre,ladera_noroccidente,False,False,2026-04-15T11:57:51
C-0000078,23,No reporta,12,La America,centro_sur,True,True,2026-04-15T09:10:13
C-0000079,32,F,10,La Candelaria,centro,True,True,2026-04-15T11:00:03
C-0000080,74,F,14,El Poblado,sur,True,True,2026-04-15T08:38:52
C-0000081,56,M,12,La America,centro_sur,False,False,2026-04-15T10:36:02
C-0000082,29,M,8,Villa Hermosa,ladera_oriente,True,True,2026-04-15T10:45:47
C-0000083,19,F,15,Guayabal,sur,True,True,2026-04-15T09:57:08
C-0000084,45,M,3,Manrique,ladera_norte,True,False,2026-04-15T11:45:56
C-0000085,57,M,1,Popular,ladera_norte,True,True,2026-04-15T12:02:29
C-0000086,74,M,2,Santa Cruz,ladera_norte,False,False,2026-04-15T08:17:36
C-0000087,77,M,13,San Javier,ladera_occidente,True,False,2026-04-15T11:34:51
C-0000088,48,F,9,Buenos Aires,ladera_oriente,False,False,2026-04-15T10:47:50
C-0000089,46,F,3,Manrique,ladera_norte,False,False,2026-04-15T10:07:10
C-0000090,80,M,9,Buenos Aires,ladera_oriente,True,True,2026-04-15T08:06:33
C-0000091,70,F,3,Manrique,ladera_norte,False,False,2026-04-15T10:31:38
C-0000092,32,F,13,San Javier,ladera_occidente,False,False,2026-04-15T09:24:01
C-0000093,63,F,8,Villa Hermosa,ladera_oriente,False,False,2026-04-15T07:41:21
C-0000094,65,F,7,Robledo,ladera_noroccidente,True,True,2026-04-15T08:21:57
C-0000095,33,F,6,Doce de Octubre,ladera_noroccidente,True,False,2026-04-15T07:56:48
C-0000096,83,F,11,Laureles-Estadio,centro_sur,True,True,2026-04-15T08:59:51
C-0000097,37,,7,Robledo,ladera_noroccidente,True,True,2026-04-15T08:22:36
C-0000098,54,F,2,Santa Cruz,ladera_norte,True,True,2026-04-15T11:47:34
C-0000099,51,M,3,Manrique,ladera_norte,True,True,2026-04-15T08:55:59
C-0000100,64,M,70,Altavista,rural,False,False,2026-04-15T09:35:55
C-0000101,78,F,16,Belen,sur,False,False,2026-04-15T11:12:55
C-0000102,44,F,13,San Javier,ladera_occidente,True,True,2026-04-15T08:02:34
C-0000103,43,F,5,Castilla,valle,False,False,2026-04-15T09:16:32
C-0000104,68,M,70,Altavista,rural,True,False,2026-04-15T08:29:41
C-0000105,81,M,14,El Poblado,sur,True,True,2026-04-15T10:05:19
C-0000106,78,M,13,San Javier,ladera_occidente,False,False,2026-04-15T11:43:05
C-0000107,68,M,8,Villa Hermosa,ladera_oriente,True,False,2026-04-15T10:13:44
C-0000108,65,F,5,Castilla,valle,True,True,2026-04-15T09:33:02
C-0000109,69,F,2,Santa Cruz,ladera_norte,False,False,2026-04-15T07:55:49
C-0000110,80,F,16,Belen,sur,False,False,2026-04-15T12:10:47
C-0000111,18,F,8,Villa Hermosa,ladera_oriente,False,False,2026-04-15T09:49:04
C-0000112,57,F,4,Aranjuez,valle,True,True,2026-04-15T10:18:22
C-0000113,20,M,6,Doce de Octubre,ladera_noroccidente,True,True,2026-04-15T10:00:34
C-0000114,56,F,11,Laureles-Estadio,centro_sur,True,True,2026-04-15T10:02:07
C-0000115,44,M,4,Aranjuez,valle,True,True,2026-04-15T08:00:09
C-0000116,38,F,15,Guayabal,sur,False,False,2026-04-15T09:46:51
C-0000117,77,F,14,El Poblado,sur,True,False,2026-04-15T09:36:03
C-0000118,65,M,13,San Javier,ladera_occidente,False,False,2026-04-15T11:22:02
C-0000119,56,F,8,Villa Hermosa,ladera_oriente,True,True,2026-04-15T09:38:21
C-0000120,77,F,11,Laureles-Estadio,centro_sur,True,True,2026-04-15T11:40:42
C-0000121,24,F,11,Laureles-Estadio,centro_sur,True,True,2026-04-15T10:46:37
C-0000122,61,M,12,La America,centro_sur,True,True,2026-04-15T08:08:06
C-0000123,28,F,2,Santa Cruz,ladera_norte,True,True,2026-04-15T11:55:03
C-0000124,33,M,8,Villa Hermosa,ladera_oriente,False,False,2026-04-15T09:32:31
C-0000125,30,No reporta,1,Popular,ladera_norte,False,False,2026-04-15T11:01:38
C-0000126,54,M,9,Buenos Aires,ladera_oriente,True,True,2026-04-15T08:54:49
C-0000127,60,F,6,Doce de Octubre,ladera_noroccidente,True,True,2026-04-15T11:15:26
C-0000128,68,M,3,Manrique,ladera_norte,False,False,2026-04-15T11:59:48
C-0000129,47,F,2,Santa Cruz,ladera_norte,False,False,2026-04-15T07:38:20
C-0000130,80,M,11,Laureles-Estadio,centro_sur,True,True,2026-04-15T11:10:24
C-0000131,43,M,3,Manrique,ladera_norte,True,True,2026-04-15T11:14:39
C-0000132,28,F,50,San Sebastian de Palmitas,rural,False,False,2026-04-15T08:57:41
C-0000133,20,F,11,Laureles-Estadio,centro_sur,False,False,2026-04-15T09:28:58
C-0000134,26,M,7,Robledo,ladera_noroccidente,False,False,2026-04-15T09:32:30
C-0000135,47,M,11,Laureles-Estadio,centro_sur,True,True,2026-04-15T09:44:05
C-0000136,45,M,1,Popular,ladera_norte,True,False,2026-04-15T09:35:45
C-0000137,75,F,70,Altavista,rural,True,True,2026-04-15T12:01:08
C-0000138,26,M,9,Buenos Aires,ladera_oriente,True,True,2026-04-15T12:09:32
C-0000139,35,M,14,El Poblado,sur,True,True,2026-04-15T12:13:09
C-0000140,83,M,2,Santa Cruz,ladera_norte,True,True,2026-04-15T09:52:06
C-0000141,19,F,9,Buenos Aires,ladera_oriente,True,True,2026-04-15T10:58:48
C-0000142,46,M,9,Buenos Aires,ladera_oriente,True,True,2026-04-15T07:35:31
C-0000143,31,M,50,San Sebastian de Palmitas,rural,False,False,2026-04-15T07:35:28
C-0000144,53,F,10,La Candelaria,centro,False,False,2026-04-15T11:09:01
