id_log,nivel,servicio,evento,duracion_ms,timestamp
L-0000001,INFO,etl,registro,124,2026-04-15T08:08:47
L-0000002,INFO,etl,auditoria_diaria,246,2026-04-15T16:10:00
L-0000003,ERROR,simulador,voto_emitido,1732,2026-04-15T10:53:06
L-0000004,ERROR,validador,auditoria_diaria,608,2026-04-15T13:38:15
L-0000005,INFO,validador,validacion,239,2026-04-15T15:40:43
L-0000006,INFO,validador,auditoria_diaria,268,2026-04-15T16:31:29
L-0000007,INFO,etl,voto_emitido,85,2026-04-15T11:43:12
L-0000008,INFO,validador,validacion,182,2026-04-15T10:16:34
L-0000009,INFO,streamlit,validacion,64,2026-04-15T07:18:36
L-0000010,INFO,etl,auditoria_diaria,77,2026-04-15T13:16:29
L-0000011,INFO,validador,registro,90,2026-04-15T09:17:14
L-0000012,INFO,streamlit,registro,284,2026-04-15T14:09:01
L-0000013,INFO,simulador,reporte,297,2026-04-15T15:45:07
L-0000014,ERROR,etl,agregacion,1456,2026-04-15T14:43:55
L-0000015,WARNING,simulador,voto_emitido,238,2026-04-15T15:06:50
L-0000016,INFO,streamlit,voto_emitido,130,2026-04-15T13:36:38
L-0000017,INFO,streamlit,reporte,43,2026-04-15T16:10:04
L-0000018,ERROR,validador,auditoria_diaria,1298,2026-04-15T15:53:41
L-0000019,INFO,auditoria,auditoria_diaria,104,2026-04-15T08:35:50
L-0000020,INFO,etl,validacion,79,2026-04-15T12:59:25
L-0000021,INFO,validador,voto_emitido,270,2026-04-15T15:15:53
L-0000022,INFO,streamlit,voto_emitido,128,2026-04-15T09:24:39
L-0000023,INFO,auditoria,auditoria_diaria,69,2026-04-15T07:09:14
L-0000024,INFO,simulador,registro,105,2026-04-15T09:40:53
L-0000025,INFO,auditoria,auditoria_diaria,152,2026-04-15T10:36:34
L-0000026,WARNING,streamlit,registro,327,2026-04-15T09:02:02
L-0000027,INFO,etl,validacion,232,2026-04-15T09:45:52
L-0000028,INFO,etl,validacion,189,2026-04-15T07:15:12
L-0000029,WARNING,simulador,auditoria_diaria,160,2026-04-15T14:29:44
L-0000030,INFO,auditoria,reporte,40,2026-04-15T12:37:23
L-0000031,INFO,auditoria,voto_emitido,191,2026-04-15T15:32:17
L-0000032,INFO,auditoria,registro,89,2026-04-15T13:09:51
L-0000033,INFO,validador,voto_emitido,35,2026-04-15T15:39:44
L-0000034,INFO,validador,agregacion,163,2026-04-15T10:20:23
L-0000035,INFO,etl,auditoria_diaria,238,2026-04-15T15:19:04
L-0000036,INFO,etl,reporte,280,2026-04-15T13:50:14
L-0000037,INFO,streamlit,auditoria_diaria,194,2026-04-15T16:30:32
L-0000038,INFO,validador,validacion,264,2026-04-15T07:11:15
L-0000039,WARNING,validador,validacion,351,2026-04-15T15:21:49
L-0000040,INFO,streamlit,agregacion,77,2026-04-15T09:17:05
L-0000041,INFO,streamlit,validacion,87,2026-04-15T14:38:48
L-0000042,WARNING,etl,agregacion,501,2026-04-15T13:23:16
L-0000043,INFO,auditoria,agregacion,98,2026-04-15T12:13:09
L-0000044,WARNING,streamlit,auditoria_diaria,158,2026-04-15T10:54:05
L-0000045,INFO,streamlit,agregacion,226,2026-04-15T08:59:59
L-0000046,INFO,etl,registro,295,2026-04-15T11:32:08
L-0000047,WARNING,streamlit,voto_emitido,749,2026-04-15T07:37:08
L-0000048,INFO,auditoria,registro,234,2026-04-15T10:12:50
L-0000049,INFO,etl,auditoria_diaria,67,2026-04-15T12:00:25
L-0000050,INFO,streamlit,auditoria_diaria,289,2026-04-15T08:06:01
L-0000051,WARNING,validador,registro,225,2026-04-15T15:21:03
L-0000052,WARNING,auditoria,auditoria_diaria,387,2026-04-15T14:14:53
L-0000053,INFO,streamlit,voto_emitido,38,2026-04-15T07:05:11
L-0000054,WARNING,etl,registro,521,2026-04-15T13:01:48
L-0000055,INFO,etl,validacion,136,2026-04-15T16:30:46
L-0000056,INFO,auditoria,validacion,313,2026-04-15T13:09:44
L-0000057,INFO,simulador,reporte,139,2026-04-15T08:55:43
L-0000058,INFO,streamlit,voto_emitido,24,2026-04-15T08:38:45
L-0000059,WARNING,simulador,registro,193,2026-04-15T10:15:29
L-0000060,INFO,streamlit,reporte,185,2026-04-15T13:04:37
L-0000061,INFO,streamlit,agregacion,59,2026-04-15T13:55:48
L-0000062,INFO,streamlit,reporte,308,2026-04-15T13:05:37
L-0000063,ERROR,etl,reporte,2109,2026-04-15T10:00:18
L-0000064,INFO,etl,auditoria_diaria,246,2026-04-15T13:33:59
L-0000065,WARNING,etl,agregacion,305,2026-04-15T15:20:11
L-0000066,ERROR,etl,registro,2428,2026-04-15T10:22:56
L-0000067,ERROR,validador,voto_emitido,1324,2026-04-15T13:54:08
L-0000068,INFO,simulador,registro,24,2026-04-15T09:17:53
L-0000069,INFO,streamlit,registro,66,2026-04-15T14:52:15
L-0000070,INFO,etl,agregacion,283,2026-04-15T08:07:00
L-0000071,INFO,streamlit,voto_emitido,148,2026-04-15T14:05:46
L-0000072,INFO,streamlit,reporte,230,2026-04-15T12:33:01
L-0000073,INFO,simulador,voto_emitido,228,2026-04-15T09:34:20
L-0000074,INFO,validador,agregacion,242,2026-04-15T14:09:08
L-0000075,INFO,simulador,agregacion,303,2026-04-15T08:40:01
L-0000076,INFO,etl,reporte,256,2026-04-15T08:11:02
L-0000077,WARNING,streamlit,agregacion,604,2026-04-15T09:30:09
L-0000078,INFO,validador,reporte,50,2026-04-15T10:03:40
L-0000079,INFO,streamlit,voto_emitido,288,2026-04-15T16:05:30
L-0000080,INFO,streamlit,validacion,103,2026-04-15T14:03:21
L-0000081,WARNING,validador,agregacion,653,2026-04-15T14:32:17
L-0000082,INFO,simulador,agregacion,123,2026-04-15T08:29:46
L-0000083,ERROR,validador,voto_emitido,986,2026-04-15T16:02:11
L-0000084,WARNING,streamlit,auditoria_diaria,218,2026-04-15T08:02:52
L-0000085,WARNING,simulador,validacion,608,2026-04-15T16:17:18
L-0000086,INFO,streamlit,auditoria_diaria,308,2026-04-15T08:44:37
L-0000087,INFO,streamlit,validacion,207,2026-04-15T08:41:55
L-0000088,INFO,etl,auditoria_diaria,97,2026-04-15T12:17:56
L-0000089,INFO,validador,validacion,87,2026-04-15T10:34:42
L-0000090,INFO,validador,reporte,248,2026-04-15T08:58:41
L-0000091,INFO,validador,voto_emitido,110,2026-04-15T13:07:54
L-0000092,INFO,streamlit,validacion,221,2026-04-15T16:03:21
L-0000093,WARNING,validador,auditoria_diaria,776,2026-04-15T07:09:08
L-0000094,INFO,etl,voto_emitido,41,2026-04-15T11:24:38
L-0000095,INFO,simulador,registro,226,2026-04-15T16:57:05
L-0000096,INFO,streamlit,reporte,65,2026-04-15T07:53:38
L-0000097,INFO,streamlit,agregacion,141,2026-04-15T11:17:48
L-0000098,WARNING,streamlit,voto_emitido,580,2026-04-15T16:01:17
L-0000099,INFO,streamlit,registro,286,2026-04-15T08:37:20
L-0000100,INFO,simulador,registro,181,2026-04-15T16:26:53
L-0000101,INFO,streamlit,reporte,34,2026-04-15T07:05:19
L-0000102,WARNING,validador,validacion,682,2026-04-15T08:08:20
L-0000103,INFO,simulador,voto_emitido,251,2026-04-15T09:45:46
L-0000104,INFO,auditoria,validacion,253,2026-04-15T10:55:35
L-0000105,INFO,simulador,registro,127,2026-04-15T09:35:05
L-0000106,ERROR,etl,reporte,400,2026-04-15T14:07:38
L-0000107,INFO,auditoria,reporte,21,2026-04-15T13:06:25
L-0000108,INFO,simulador,registro,217,2026-04-15T08:40:52
L-0000109,INFO,simulador,auditoria_diaria,254,2026-04-15T14:31:43
L-0000110,INFO,streamlit,reporte,153,2026-04-15T13:08:36
L-0000111,INFO,etl,registro,138,2026-04-15T16:38:32
L-0000112,WARNING,auditoria,validacion,642,2026-04-15T14:35:19
L-0000113,INFO,auditoria,registro,23,2026-04-15T15:26:19
L-0000114,INFO,streamlit,validacion,274,2026-04-15T13:36:57
L-0000115,INFO,simulador,agregacion,59,2026-04-15T10:10:54
L-0000116,INFO,simulador,voto_emitido,80,2026-04-15T09:47:45
L-0000117,WARNING,validador,voto_emitido,729,2026-04-15T15:13:29
L-0000118,ERROR,validador,reporte,723,2026-04-15T08:51:08
L-0000119,INFO,streamlit,agregacion,41,2026-04-15T16:27:36
L-0000120,INFO,auditoria,reporte,226,2026-04-15T16:55:44
L-0000121,INFO,simulador,auditoria_diaria,270,2026-04-15T07:57:43
L-0000122,INFO,validador,agregacion,228,2026-04-15T11:35:57
L-0000123,WARNING,streamlit,reporte,634,2026-04-15T16:50:26
L-0000124,WARNING,simulador,validacion,636,2026-04-15T14:13:33
L-0000125,INFO,streamlit,voto_emitido,180,2026-04-15T13:28:21
L-0000126,INFO,streamlit,reporte,16,2026-04-15T16:11:25
L-0000127,INFO,etl,reporte,54,2026-04-15T09:06:24
L-0000128,INFO,validador,reporte,65,2026-04-15T14:59:55
L-0000129,INFO,streamlit,voto_emitido,83,2026-04-15T16:18:50
L-0000130,INFO,validador,voto_emitido,88,2026-04-15T08:44:35
L-0000131,INFO,simulador,agregacion,169,2026-04-15T08:08:39
L-0000132,INFO,simulador,validacion,36,2026-04-15T16:09:47
L-0000133,INFO,streamlit,auditoria_diaria,201,2026-04-15T11:35:51
L-0000134,INFO,etl,registro,75,2026-04-15T15:30:29
L-0000135,INFO,etl,reporte,230,2026-04-15T12:48:14
L-0000136,WARNING,etl,registro,795,2026-04-15T15:19:53
L-0000137,INFO,simulador,auditoria_diaria,226,2026-04-15T11:43:28
L-0000138,INFO,simulador,agregacion,40,2026-04-15T09:25:54
L-0000139,ERROR,etl,reporte,2151,2026-04-15T11:41:56
L-0000140,ERROR,simulador,validacion,586,2026-04-15T07:26:35
L-0000141,INFO,simulador,auditoria_diaria,63,2026-04-15T07:20:31
L-0000142,INFO,streamlit,agregacion,89,2026-04-15T14:03:22
L-0000143,INFO,auditoria,reporte,119,2026-04-15T08:06:15
L-0000144,ERROR,etl,voto_emitido,530,2026-04-15T13:23:02
L-0000145,INFO,simulador,validacion,229,2026-04-15T08:27:14
L-0000146,WARNING,streamlit,agregacion,250,2026-04-15T07:35:36
L-0000147,INFO,validador,registro,121,2026-04-15T14:13:49
L-0000148,INFO,auditoria,reporte,273,2026-04-15T07:26:59
L-0000149,WARNING,etl,auditoria_diaria,409,2026-04-15T10:22:50
L-0000150,INFO,simulador,auditoria_diaria,155,2026-04-15T09:52:08
L-0000151,INFO,simulador,registro,50,2026-04-15T14:25:17
L-0000152,INFO,etl,validacion,16,2026-04-15T13:14:59
L-0000153,WARNING,auditoria,auditoria_diaria,520,2026-04-15T14:44:19
L-0000154,INFO,streamlit,auditoria_diaria,255,2026-04-15T12:38:30
L-0000155,INFO,etl,validacion,80,2026-04-15T13:29:58
L-0000156,INFO,simulador,registro,21,2026-04-15T13:20:18
L-0000157,INFO,validador,validacion,213,2026-04-15T12:02:25
L-0000158,INFO,streamlit,agregacion,291,2026-04-15T13:24:35
L-0000159,ERROR,etl,registro,811,2026-04-15T08:07:58
L-0000160,INFO,etl,auditoria_diaria,16,2026-04-15T09:12:41
L-0000161,INFO,streamlit,voto_emitido,42,2026-04-15T08:40:16
L-0000162,WARNING,auditoria,auditoria_diaria,784,2026-04-15T16:52:20
L-0000163,INFO,auditoria,auditoria_diaria,146,2026-04-15T15:04:11
L-0000164,INFO,simulador,registro,139,2026-04-15T16:03:13
L-0000165,WARNING,etl,voto_emitido,593,2026-04-15T13:38:58
L-0000166,INFO,auditoria,voto_emitido,85,2026-04-15T12:25:20
L-0000167,WARNING,validador,validacion,544,2026-04-15T14:02:20
L-0000168,WARNING,streamlit,reporte,636,2026-04-15T07:16:03
L-0000169,WARNING,auditoria,voto_emitido,168,2026-04-15T14:14:51
L-0000170,INFO,etl,registro,65,2026-04-15T10:10:29
L-0000171,INFO,simulador,agregacion,70,2026-04-15T16:38:33
L-0000172,INFO,auditoria,reporte,111,2026-04-15T07:38:03
L-0000173,INFO,streamlit,voto_emitido,114,2026-04-15T16:31:00
L-0000174,WARNING,etl,agregacion,485,2026-04-15T13:49:02
L-0000175,INFO,simulador,auditoria_diaria,197,2026-04-15T08:52:09
L-0000176,INFO,streamlit,validacion,55,2026-04-15T11:36:14
L-0000177,WARNING,simulador,auditoria_diaria,622,2026-04-15T16:20:58
L-0000178,INFO,streamlit,voto_emitido,38,2026-04-15T07:19:04
L-0000179,INFO,etl,validacion,227,2026-04-15T16:12:34
L-0000180,INFO,streamlit,registro,223,2026-04-15T10:12:08
L-0000181,INFO,streamlit,agregacion,40,2026-04-15T15:13:48
L-0000182,WARNING,etl,validacion,186,2026-04-15T07:08:34
L-0000183,INFO,etl,reporte,75,2026-04-15T07:09:57
L-0000184,INFO,etl,validacion,29,2026-04-15T12:35:18
L-0000185,INFO,validador,auditoria_diaria,264,2026-04-15T13:31:27
L-0000186,ERROR,validador,reporte,1431,2026-04-15T11:00:34
L-0000187,INFO,streamlit,agregacion,30,2026-04-15T07:55:32
L-0000188,INFO,streamlit,auditoria_diaria,208,2026-04-15T14:50:57
L-0000189,ERROR,etl,registro,2384,2026-04-15T09:17:21
L-0000190,WARNING,auditoria,reporte,548,2026-04-15T16:30:30
L-0000191,INFO,streamlit,agregacion,58,2026-04-15T09:43:28
L-0000192,INFO,simulador,voto_emitido,302,2026-04-15T13:00:35
L-0000193,INFO,validador,auditoria_diaria,318,2026-04-15T08:42:54
L-0000194,INFO,validador,validacion,82,2026-04-15T10:27:12
L-0000195,INFO,auditoria,validacion,61,2026-04-15T14:27:37
L-0000196,ERROR,simulador,validacion,2293,2026-04-15T15:35:30
L-0000197,INFO,simulador,registro,233,2026-04-15T08:35:18
L-0000198,INFO,etl,registro,27,2026-04-15T10:10:19
L-0000199,INFO,streamlit,reporte,59,2026-04-15T09:37:18
L-0000200,WARNING,streamlit,registro,253,2026-04-15T12:21:40
L-0000201,INFO,auditoria,voto_emitido,213,2026-04-15T11:57:35
L-0000202,INFO,etl,reporte,90,2026-04-15T16:26:12
L-0000203,WARNING,auditoria,validacion,637,2026-04-15T10:48:27
L-0000204,INFO,streamlit,reporte,91,2026-04-15T16:30:38
L-0000205,INFO,streamlit,registro,251,2026-04-15T10:36:46
L-0000206,WARNING,auditoria,auditoria_diaria,543,2026-04-15T12:01:59
L-0000207,INFO,etl,voto_emitido,308,2026-04-15T07:35:18
